logdir,score,runtime,data_dir,seed,batch_size,lr,weight_decay,epochs,encoder,encoder_depth,resolution,dropout,seg_weight,num_workers,fold,amp,gpu_numbers,pretrained_dir,n_parameters,pretrained_path,in_channels,init_random,data_frac,val_freq,df_dir,annotated_extra_weight,seg_epochs,seg_pos_weight,annotated_weight,seg_pretrain,seg_tip,seg_type,raw_param_lr_ratio,k,nheads,use_attn,focal,aug,supcon,supcon_pos_weight,pseudo_data_dir,downconv,resume,full,last_conv,centercrop,pos_emb,mixup,catheter_pretrain,catheter,two_view,black_white,ft_cvc,ft_tube,ce_loss,simsiam,encoder_only,decoder_lr_ratio,normalize,clahe_clip_offset,clahe_tile_grid_size,always_clahe,from_simsiam
../../model/v1/baseline,0.929642521119366,4680,../../input/processed/data,0,88,0.0005,0.01,20,timm-efficientnet-b3,5.0,384,0.2,0.0,16,0,False,"0, 1, 2, 3",,13163998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../../model/v1/segweight0.5,0.928862181518254,5465,../../input/processed/data,0,88,0.0005,0.01,20,timm-efficientnet-b3,5.0,384,0.2,0.5,16,0,False,"0, 1, 2, 3",,13163998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../../model/v1/gradnorm-bnbiasnodecay,0.929757271311753,4704,../../input/processed/data,0,88,0.0005,0.01,20,timm-efficientnet-b3,5.0,384,0.2,0.0,16,0,False,"0, 1, 2, 3",,13163998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../../model/v1/epochs15,0.925951890893628,3521,../../input/processed/data,0,88,0.0005,0.01,15,timm-efficientnet-b3,5.0,384,0.2,0.0,16,0,False,"0, 1, 2, 3",,13163998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../../model/v1/lr1e-3,0.925926164313899,3517,../../input/processed/data,0,88,0.001,0.01,15,timm-efficientnet-b3,5.0,384,0.2,0.0,16,0,False,"0, 1, 2, 3",,13163998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../../model/v1/lr1e-4,0.899187741224661,3522,../../input/processed/data,0,88,0.0001,0.01,15,timm-efficientnet-b3,5.0,384,0.2,0.0,16,0,False,"0, 1, 2, 3",,13163998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../../model/v1/dropout0.15,0.924432408725068,3516,../../input/processed/data,0,88,0.0005,0.01,15,timm-efficientnet-b3,5.0,384,0.15,0.0,16,0,False,"0, 1, 2, 3",,13163998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../../model/v1/dropout0.25,0.922613266503666,3516,../../input/processed/data,0,88,0.0005,0.01,15,timm-efficientnet-b3,5.0,384,0.25,0.0,16,0,False,"0, 1, 2, 3",,13163998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../../model/v1/epochs30,0.929759926762244,7026,../../input/processed/data,0,88,0.0005,0.01,30,timm-efficientnet-b3,5.0,384,0.15,0.0,16,0,False,"0, 1, 2, 3",,13163998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
../../model/v1/res512-eff0-epochs20,0.935421886354822,5847,../../input/processed/data,0,64,0.0005,0.01,20,timm-efficientnet-b0,5.0,512,0.2,0.0,16,0,False,"0, 1, 2, 3",,6255874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
